━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
  🔄 스윙 트레이딩 스크리닝 보고서  (981종목)
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
     진입        점수        가격     시장     등급        손절        익절     RR        수량       종합         점수  종목
   🟡 보류         30     111,405   강세추세    A       111,352     111,512    2.0          17     🟡 보류        58.5  미래에셋 TIGER 단기통안채증권상장지수투자신탁(채권) (157450.KS)
   🟡 보류         30      81,600   약세강세    B        77,375      90,051    2.0          24     🟡 보류        55.0  SK텔레콤 (017670.KS)
   🟡 보류         30      15,560   약세강세    B        15,076      16,527    2.0         128     🟡 보류        55.0  삼성 KODEX 삼성전자채권혼합증권상장지수투자신탁[채권혼합] (448330.KS)
   🟡 보류         30      17,965   약세강세    B        17,146      19,604    2.0         111     🟡 보류        55.0  한국투자 ACE 구글밸류체인액티브증권상장지수투자신탁(주식) (483340.KS)
   🟡 보류         30       5,970   약세강세    B         5,615       6,680    2.0         335     🟡 보류        52.8  유수홀딩스 (000700.KS)
   🟡 보류         30     211,000   약세강세    B       191,537     249,926    2.0           9     🟡 보류        52.4  현대로템 (064350.KS)
   🟡 보류         30      87,800   약세강세    B        77,918     107,564    2.0          20     🟡 보류        52.4  DB하이텍 (000990.KS)
   🟡 보류         30     253,500   약세강세    C       224,054     312,393    2.0           6     🟡 보류        51.8  한미반도체 (042700.KS)
   🟡 보류         30      56,300     횡보      B        53,139      62,622    2.0          35     🟡 보류        51.6  명인제약 (317450.KS)
   🟡 보류         30      71,400   약세강세    C        62,020      90,160    2.0          21     🟡 보류        51.2  한화비전 (489790.KS)
   🟡 보류         30       3,250   약세강세    B         2,975       3,801    2.0         615     🟡 보류        51.2  팜스코 (036580.KS)
   🟡 보류         30      11,175   약세강세    C        11,022      11,480    2.0         178     🟡 보류        51.0  미래에셋 TIGER 미국나스닥100커버드콜증권상장지수투자신탁(주식-파생형)(합성) (441680.KS)
   🟡 보류         30      50,850   약세강세    C        50,780      50,990    2.0          39     🟡 보류        51.0  신한 SOL 중단기회사채(A-이상)액티브증권상장지수투자신탁[채권] (0016X0.KS)
   🟡 보류         30     134,400     횡보      A       130,653     141,894    2.0          14     🟡 보류        50.2  CJ제일제당 우 (097955.KS)
   🟡 보류         30      38,575   약세강세    C        35,616      44,493    2.0          51     🟡 보류        49.5  신한 SOL K방산증권상장지수투자신탁[주식] (490480.KS)
   🟡 보류         30      11,180   약세추세    C        10,569      12,402    2.0         178     🟡 보류        48.8  한세실업 (105630.KS)
   🟡 보류         30       4,085   약세강세    C         3,894       4,466    2.0         489     🟡 보류        48.8  신한서부티엔디리츠 (404990.KS)
   🟡 보류         30      53,000     횡보      F        50,319      58,361    2.0          37     🟡 보류        48.1  삼성카드 (029780.KS)
   🟡 보류         30       9,930     횡보      F         9,464      10,863    2.0         201     🟡 보류        48.1  미래에셋 TIGER 차이나반도체FACTSET증권상장지수투자신탁(주식-파생형) (396520.KS)
   🟡 보류         30       2,980   약세추세    C         2,805       3,330    2.0         671     🟡 보류        47.6  모나용평 (070960.KS)
   🟡 보류         30      24,090   약세강세    C        21,966      28,337    2.0          83     🟡 보류        47.2  신한 SOL AI반도체소부장증권상장지수투자신탁[주식] (455850.KS)
   🟡 보류         30       4,550   약세강세    C         4,203       5,244    2.0         439     🟡 보류        47.2  유안타증권 (003470.KS)
